,County,Latitude,Longitude
0,Alameda,37.648081,-121.91330400000001
1,Alpine,38.61761,-119.798999
2,Amador,38.44355,-120.653856
3,Butte,39.665959,-121.601919
4,Calaveras,38.187844,-120.55511499999999
5,Colusa,39.177739,-122.237563
6,Contra Costa,37.919478999999995,-121.95154299999999
7,Del Norte,41.749903,-123.980998
8,El Dorado,38.785532,-120.534398
9,Fresno,36.761006,-119.655019
10,Glenn,39.602546000000004,-122.4017
11,Humboldt,40.706672999999995,-123.92581799999999
12,Imperial,33.040816,-115.355395
13,Inyo,36.561977,-117.403927
14,Kern,35.346629,-118.729506
15,Kings,36.072478000000004,-119.81553000000001
16,Lake,39.094802,-122.746757
17,Lassen,40.721089,-120.629931
18,Los Angeles,34.196397999999995,-118.26186200000001
19,Madera,37.210039,-119.749852
20,Marin,38.051817,-122.745974
21,Mariposa,37.570034,-119.91286000000001
22,Mendocino,39.432388,-123.442881
23,Merced,37.194806,-120.722802
24,Modoc,41.592919,-120.71837
25,Mono,37.915836,-118.87516699999999
26,Monterey,36.240107,-121.315573
27,Napa,38.507351,-122.32599499999999
28,Nevada,39.295190999999996,-120.77344599999999
29,Orange,33.675686999999996,-117.777207
30,Placer,39.062032,-120.722718
31,Plumas,39.99517,-120.829516
32,Riverside,33.729828000000005,-116.00223899999999
33,Sacramento,38.450010999999996,-121.340441
34,San Benito,36.610702,-121.085296
35,San Bernardino,34.85722,-116.181197
36,San Diego,33.023604,-116.776117
37,San Francisco,37.727239000000004,-123.032229
38,San Joaquin,37.935034,-121.27223700000002
39,San Luis Obispo,35.385227,-120.44753999999999
40,San Mateo,37.414664,-122.37154199999999
41,Santa Barbara,34.537378000000004,-120.03848500000001
42,Santa Clara,37.220777000000005,-121.69062199999999
43,Santa Cruz,37.012488,-122.007205
44,Shasta,40.760521999999995,-122.04355
45,Sierra,39.576925,-120.521993
46,Siskiyou,41.587986,-122.53328700000002
47,Solano,38.267226,-121.939594
48,Sonoma,38.532574,-122.945194
49,Stanislaus,37.562384,-121.002656
50,Sutter,39.035257,-121.702758
51,Tehama,40.126156,-122.232276
52,Trinity,40.647724,-123.11440400000001
53,Tulare,36.230453000000004,-118.780542
54,Tuolumne,38.021451,-119.964708
55,Ventura,34.358742,-119.13314299999999
56,Yolo,38.679268,-121.903178
57,Yuba,39.270026,-121.34428
